"p.geomean"	"stat.mean"	"p.val"	"q.val"	"set.size"	"hy_1"	"hy_2"
"ath03008 Ribosome biogenesis in eukaryotes"	0.00280654727045725	2.79131516922651	4.80842352126054e-05	0.00448232843803843	93	0.00659902203120709	0.00119417666802821
"ath00970 Aminoacyl-tRNA biosynthesis"	0.00370623120093558	2.7270144794335	8.07626745592509e-05	0.00448232843803843	56	0.00580214014258592	0.00246653349819887
"ath03030 DNA replication"	0.00588556655377907	2.5646617895475	0.000187565717983071	0.00693993156537363	49	0.00906632737487349	0.00382154918590975
"ath03420 Nucleotide excision repair"	0.012279050587025	2.2471748344281	0.000853152135397894	0.0236749717572915	65	0.0337363826242051	0.00455349606221679
"ath00511 Other glycan degradation"	0.0195722725059028	2.14599760232833	0.00183555272422021	0.0407492704776887	18	0.0228092470135456	0.0174483106795349
"ath03022 Basal transcription factors"	0.0262156817820028	1.94218534880972	0.00334258570963299	0.0618378356282104	52	0.0454037048255735	0.0160011576509999
"ath03410 Base excision repair"	0.0342211799385158	1.8292102200255	0.00535797785706873	0.0849622203049469	43	0.0579521856896523	0.0208435713171651
"ath03010 Ribosome"	7.09771072317399e-30	-11.9734941488363	1.11465150925508e-57	1.23726317527314e-55	323	1.91329803029485e-30	2.83833653075222e-29
"ath00190 Oxidative phosphorylation"	2.22455396966555e-07	-5.19783065056496	4.7115666548747e-13	2.61491949345546e-11	126	1.6123259946357e-07	3.0853319359404e-07
"ath04145 Phagosome"	9.08494855602973e-05	-3.83571523694755	6.04248341461132e-08	2.23571886340619e-06	86	0.000101992456776423	8.15322931783062e-05
"ath00195 Photosynthesis"	0.000350787087008479	-3.54262421138511	8.23389796054056e-07	2.28490668405001e-05	45	0.000373606421105612	0.000329561649447266
"ath00196 Photosynthesis - antenna proteins"	0.000692112851622422	-3.48068065573784	3.0689243512074e-06	6.81301205968044e-05	22	0.00068540706316955	0.000702166307696407
"ath00062 Fatty acid elongation"	0.00443435393943209	-2.70047309019025	0.000108080440960808	0.00195532033028969	35	0.00570015317075811	0.00345164584005014
"ath00940 Phenylpropanoid biosynthesis"	0.00473407608449543	-2.60891403559069	0.000123308489297548	0.00195532033028969	154	0.00386410175224318	0.00586056294107159
"ath00941 Flavonoid biosynthesis"	0.0131532361217231	-2.30261636470278	0.000887921195004781	0.0123199065806913	20	0.0205250599248393	0.00872915220972724
"ath04075 Plant hormone signal transduction"	0.022134829620848	-2.00718533147352	0.00231721010924083	0.0285789246806369	260	0.0143156132502201	0.0347095664220357
"ath00750 Vitamin B6 metabolism"	0.0242843526775227	-2.07242467338785	0.00268156316267323	0.0297653511056729	14	0.0235633509999052	0.0254371346106289
